epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.145,1.80707,4.61818,0.01559,0.00517,0.20283,0.03987,0.02108,1.62114,5.06639,0.01683,0.000219202,0.000219202,0.000219202
2,410.602,1.73765,3.53774,0.01596,0.58213,0.20927,0.20057,0.09627,1.82758,3.73281,0.02086,0.000437164,0.000437164,0.000437164
3,618,1.79282,3.01326,0.01624,0.55351,0.27262,0.25661,0.11931,1.76897,3.33704,0.01931,0.000650724,0.000650724,0.000650724
4,830.974,1.74426,2.67312,0.01618,0.55509,0.3187,0.32878,0.16456,1.79791,2.94707,0.01995,0.00064719,0.00064719,0.00064719
5,1037.39,1.76049,2.5045,0.01614,0.62824,0.33176,0.34286,0.17256,1.83749,2.77231,0.02098,0.000640587,0.000640587,0.000640587
6,1247.04,1.72407,2.3681,0.01553,0.71496,0.31497,0.36796,0.18149,1.80993,2.61749,0.01966,0.000633983,0.000633983,0.000633983
7,1448.76,1.70139,2.23732,0.01537,0.72722,0.35797,0.4009,0.19583,1.80664,2.43121,0.02002,0.00062738,0.00062738,0.00062738
8,1655.27,1.70589,2.11566,0.01531,0.6074,0.40215,0.40807,0.20432,1.77497,2.29736,0.01929,0.000620777,0.000620777,0.000620777
9,1863.9,1.70307,2.01462,0.01491,0.67272,0.38323,0.39447,0.19456,1.79145,2.18964,0.01948,0.000614174,0.000614174,0.000614174
10,2071.05,1.69346,1.96549,0.01492,0.65664,0.40736,0.40884,0.20286,1.77433,2.08125,0.01904,0.00060757,0.00060757,0.00060757
11,2277.55,1.68615,1.90454,0.01509,0.70908,0.37494,0.41693,0.20737,1.78495,2.00959,0.01911,0.000600967,0.000600967,0.000600967
12,2483.33,1.71643,1.87144,0.01506,0.68642,0.40184,0.41565,0.20408,1.79311,2.0074,0.01988,0.000594364,0.000594364,0.000594364
13,2692.32,1.65709,1.77769,0.01453,0.74289,0.37111,0.41124,0.21123,1.74396,1.93151,0.01841,0.00058776,0.00058776,0.00058776
14,2894.61,1.67588,1.73525,0.01449,0.76436,0.36175,0.41826,0.21174,1.77884,1.92046,0.01944,0.000581157,0.000581157,0.000581157
15,3107.88,1.65624,1.71441,0.01462,0.65332,0.41243,0.42423,0.20877,1.79451,1.87273,0.0204,0.000574554,0.000574554,0.000574554
16,3310.09,1.64686,1.67118,0.01478,0.55776,0.40571,0.42016,0.20976,1.81026,1.8485,0.01962,0.00056795,0.00056795,0.00056795
17,3512.49,1.64851,1.64902,0.01448,0.68015,0.39552,0.43135,0.21666,1.77976,1.81557,0.0188,0.000561347,0.000561347,0.000561347
18,3713.96,1.63843,1.62965,0.01448,0.81448,0.3864,0.45272,0.22433,1.75647,1.79607,0.01869,0.000554744,0.000554744,0.000554744
19,3913.25,1.65784,1.62189,0.01438,0.65404,0.43088,0.45085,0.22332,1.80863,1.76975,0.01983,0.000548141,0.000548141,0.000548141
20,4120.63,1.64462,1.57094,0.01423,0.69075,0.41289,0.45304,0.22866,1.77441,1.75441,0.01936,0.000541537,0.000541537,0.000541537
21,4329.07,1.61928,1.5236,0.01423,0.8159,0.38934,0.46223,0.23172,1.76969,1.66459,0.01955,0.000534934,0.000534934,0.000534934
22,4536.58,1.65083,1.54658,0.01446,0.67359,0.42442,0.45915,0.2302,1.74048,1.69065,0.01865,0.000528331,0.000528331,0.000528331
23,4740.05,1.62534,1.51497,0.01418,0.63722,0.48018,0.46956,0.23217,1.74784,1.69001,0.0185,0.000521727,0.000521727,0.000521727
24,4940.94,1.61261,1.52037,0.01416,0.71079,0.44153,0.46879,0.22785,1.77578,1.66544,0.01894,0.000515124,0.000515124,0.000515124
25,5150.8,1.62389,1.50571,0.01423,0.79127,0.42049,0.47637,0.23756,1.76967,1.63516,0.01901,0.000508521,0.000508521,0.000508521
26,5356.99,1.60583,1.45806,0.01372,0.70147,0.41898,0.46119,0.22942,1.76177,1.61066,0.01867,0.000501917,0.000501917,0.000501917
27,5557.97,1.60334,1.4476,0.01418,0.65284,0.47465,0.47402,0.23231,1.78094,1.57015,0.01898,0.000495314,0.000495314,0.000495314
28,5758.64,1.58026,1.42391,0.01369,0.61313,0.45108,0.46212,0.22884,1.78758,1.6008,0.01888,0.000488711,0.000488711,0.000488711
29,5957.6,1.58329,1.39558,0.01388,0.56837,0.49485,0.48025,0.24028,1.76878,1.58041,0.01876,0.000482108,0.000482108,0.000482108
30,6167.99,1.58554,1.40479,0.01355,0.80218,0.41243,0.4822,0.23566,1.76716,1.6041,0.0189,0.000475504,0.000475504,0.000475504
31,6379.45,1.5835,1.41398,0.01387,0.82291,0.42291,0.48908,0.24644,1.75447,1.53625,0.01843,0.000468901,0.000468901,0.000468901
32,6584.29,1.56708,1.35202,0.0136,0.73551,0.42713,0.48272,0.23574,1.7974,1.5195,0.01918,0.000462298,0.000462298,0.000462298
33,6795.26,1.58063,1.366,0.01313,0.67124,0.46972,0.49494,0.24673,1.76667,1.52421,0.01868,0.000455694,0.000455694,0.000455694
34,6995.41,1.5546,1.35074,0.01359,0.66482,0.48703,0.50852,0.25647,1.76005,1.50795,0.01875,0.000449091,0.000449091,0.000449091
35,7207.67,1.56336,1.31069,0.01324,0.68918,0.4837,0.49827,0.25289,1.76708,1.52806,0.01882,0.000442488,0.000442488,0.000442488
36,7411.53,1.55632,1.29848,0.01324,0.72986,0.4727,0.5102,0.24977,1.78263,1.51615,0.01888,0.000435884,0.000435884,0.000435884
37,7616.7,1.55826,1.31067,0.01313,0.79162,0.43622,0.49948,0.24997,1.75796,1.47637,0.01849,0.000429281,0.000429281,0.000429281
38,7825.27,1.53918,1.30507,0.0131,0.74612,0.48922,0.51237,0.25432,1.76223,1.47663,0.01858,0.000422678,0.000422678,0.000422678
39,8028.97,1.55259,1.30946,0.01284,0.76658,0.43749,0.48602,0.24904,1.78355,1.46745,0.01873,0.000416075,0.000416075,0.000416075
40,8236.19,1.54466,1.27962,0.01311,0.74054,0.48235,0.51276,0.25415,1.76161,1.48459,0.01843,0.000409471,0.000409471,0.000409471
41,8437.45,1.53433,1.27124,0.01317,0.66946,0.47119,0.50338,0.25163,1.77058,1.48471,0.01859,0.000402868,0.000402868,0.000402868
42,8640.16,1.52329,1.23606,0.01292,0.73149,0.46675,0.51399,0.24942,1.76957,1.47753,0.01842,0.000396265,0.000396265,0.000396265
43,8841.33,1.55162,1.22641,0.01266,0.59679,0.47944,0.50514,0.24564,1.81213,1.47244,0.01915,0.000389661,0.000389661,0.000389661
44,9048.68,1.55425,1.25076,0.01293,0.47929,0.50277,0.49937,0.24779,1.79347,1.48697,0.019,0.000383058,0.000383058,0.000383058
45,9249.64,1.50901,1.20321,0.01244,0.71467,0.49122,0.52078,0.25681,1.75914,1.47188,0.01867,0.000376455,0.000376455,0.000376455
46,9454.99,1.51959,1.22789,0.01291,0.78175,0.45527,0.51637,0.24736,1.80387,1.44982,0.01897,0.000369851,0.000369851,0.000369851
47,9659.86,1.52652,1.20886,0.01261,0.77073,0.47222,0.53414,0.25941,1.785,1.41831,0.01857,0.000363248,0.000363248,0.000363248
48,9867.65,1.50657,1.18783,0.01226,0.70087,0.48326,0.5097,0.26012,1.78101,1.42964,0.0187,0.000356645,0.000356645,0.000356645
49,10073.1,1.51188,1.17823,0.01256,0.67237,0.48172,0.50454,0.25804,1.7858,1.41115,0.0188,0.000350042,0.000350042,0.000350042
50,10277.2,1.48879,1.16393,0.01244,0.69973,0.49534,0.51045,0.25669,1.81382,1.40528,0.01904,0.000343438,0.000343438,0.000343438
51,10482,1.50308,1.16734,0.01229,0.59142,0.51655,0.52019,0.25823,1.82044,1.39377,0.01924,0.000336835,0.000336835,0.000336835
52,10680.5,1.50686,1.17534,0.01257,0.66739,0.48851,0.5056,0.25034,1.80626,1.39562,0.01888,0.000330232,0.000330232,0.000330232
53,10882.9,1.48356,1.17239,0.01209,0.58784,0.50919,0.51532,0.25367,1.78297,1.43631,0.01873,0.000323628,0.000323628,0.000323628
54,11086.3,1.49749,1.15397,0.01241,0.6075,0.48041,0.50207,0.25233,1.79845,1.42108,0.01898,0.000317025,0.000317025,0.000317025
55,11287.6,1.48742,1.13341,0.0122,0.58105,0.5095,0.51655,0.2593,1.77506,1.40079,0.0184,0.000310422,0.000310422,0.000310422
56,11494.2,1.48256,1.13434,0.01217,0.69111,0.49362,0.5096,0.2536,1.80922,1.42591,0.01884,0.000303818,0.000303818,0.000303818
57,11695.3,1.47708,1.10059,0.01215,0.71338,0.48891,0.51254,0.24818,1.83032,1.38639,0.01952,0.000297215,0.000297215,0.000297215
58,11900,1.48513,1.12098,0.01183,0.73059,0.46607,0.49995,0.24895,1.80423,1.41151,0.01874,0.000290612,0.000290612,0.000290612
59,12101.4,1.48132,1.11299,0.01201,0.73074,0.46594,0.51117,0.25799,1.79694,1.40013,0.01896,0.000284009,0.000284009,0.000284009
60,12300.2,1.46328,1.10977,0.01186,0.7104,0.48978,0.50967,0.25498,1.81371,1.39639,0.01886,0.000277405,0.000277405,0.000277405
61,12506.1,1.43723,1.06158,0.01192,0.59861,0.50975,0.52906,0.2596,1.82877,1.36586,0.01922,0.000270802,0.000270802,0.000270802
62,12711.9,1.45039,1.0681,0.0119,0.6674,0.48562,0.5364,0.26513,1.79421,1.37638,0.01876,0.000264199,0.000264199,0.000264199
63,12915.4,1.47082,1.09956,0.01172,0.69689,0.48759,0.51881,0.25695,1.7917,1.41606,0.01878,0.000257595,0.000257595,0.000257595
64,13115.8,1.45141,1.07488,0.01199,0.57818,0.5018,0.5333,0.25891,1.80525,1.38447,0.01886,0.000250992,0.000250992,0.000250992
65,13324.6,1.44892,1.06917,0.01143,0.5361,0.54795,0.52801,0.25503,1.81495,1.38347,0.01901,0.000244389,0.000244389,0.000244389
66,13531.5,1.45823,1.0842,0.01176,0.54153,0.54746,0.53692,0.25636,1.82809,1.37915,0.01906,0.000237785,0.000237785,0.000237785
67,13731.2,1.43888,1.05797,0.01147,0.55797,0.55368,0.54682,0.26344,1.82954,1.3403,0.01934,0.000231182,0.000231182,0.000231182
68,13937.2,1.44678,1.07109,0.012,0.60429,0.50711,0.52813,0.26023,1.81208,1.3875,0.01871,0.000224579,0.000224579,0.000224579
69,14143.5,1.43452,1.03178,0.01131,0.73391,0.48935,0.52791,0.25803,1.8149,1.38415,0.01884,0.000217976,0.000217976,0.000217976
70,14344.4,1.42785,1.04025,0.01137,0.54209,0.55868,0.5324,0.26092,1.82399,1.36593,0.01895,0.000211372,0.000211372,0.000211372
71,14551.6,1.43452,1.04725,0.01164,0.56642,0.54576,0.54277,0.26405,1.81716,1.37264,0.01904,0.000204769,0.000204769,0.000204769
72,14752.5,1.41687,1.01968,0.01122,0.55655,0.54024,0.52894,0.25547,1.81581,1.37297,0.01886,0.000198166,0.000198166,0.000198166
73,14952.5,1.41668,1.03051,0.01159,0.51326,0.5645,0.53248,0.26034,1.81637,1.3838,0.0189,0.000191562,0.000191562,0.000191562
74,15155.4,1.42457,1.02902,0.01175,0.57784,0.53945,0.54456,0.26243,1.81872,1.38934,0.01896,0.000184959,0.000184959,0.000184959
75,15358.2,1.42253,1.0256,0.01119,0.63125,0.51909,0.5372,0.26171,1.82612,1.3933,0.01914,0.000178356,0.000178356,0.000178356
76,15567.9,1.41224,1.00643,0.01135,0.55416,0.54256,0.53666,0.26135,1.81494,1.38437,0.01891,0.000171752,0.000171752,0.000171752
77,15770,1.39352,0.98404,0.01118,0.55296,0.5498,0.54016,0.26024,1.83158,1.39545,0.01897,0.000165149,0.000165149,0.000165149
78,15973.2,1.4269,1.02818,0.01113,0.56958,0.52893,0.53525,0.25909,1.81834,1.40259,0.01903,0.000158546,0.000158546,0.000158546
79,16178.9,1.40836,1.00443,0.01124,0.6108,0.52775,0.5227,0.26121,1.80387,1.39349,0.01872,0.000151943,0.000151943,0.000151943
80,16376.9,1.4051,1.00191,0.01138,0.50278,0.53509,0.52491,0.25922,1.81046,1.40526,0.01892,0.000145339,0.000145339,0.000145339
81,16579.8,1.40195,0.99431,0.01124,0.49886,0.55994,0.52669,0.255,1.82212,1.40687,0.01901,0.000138736,0.000138736,0.000138736
82,16781,1.38249,0.98622,0.01104,0.6177,0.52046,0.52054,0.25664,1.81301,1.39464,0.01886,0.000132133,0.000132133,0.000132133
83,16985.1,1.37103,0.97957,0.01104,0.6307,0.50061,0.53613,0.2608,1.81224,1.38635,0.01881,0.000125529,0.000125529,0.000125529
84,17186.1,1.38822,0.98487,0.01123,0.55544,0.57235,0.53669,0.26002,1.81228,1.38844,0.01892,0.000118926,0.000118926,0.000118926
85,17386.9,1.37999,0.97778,0.01121,0.54452,0.55673,0.54151,0.26396,1.82186,1.36339,0.01894,0.000112323,0.000112323,0.000112323
86,17599.2,1.39832,0.9707,0.01091,0.62883,0.52225,0.54834,0.26516,1.8109,1.36863,0.01883,0.00010572,0.00010572,0.00010572
87,17798.7,1.37768,0.96317,0.01106,0.6263,0.52201,0.54366,0.26694,1.80297,1.38041,0.01879,9.91162e-05,9.91162e-05,9.91162e-05
88,17995.8,1.36834,0.95154,0.01095,0.57327,0.53902,0.53957,0.26576,1.81086,1.37012,0.01886,9.25129e-05,9.25129e-05,9.25129e-05
89,18211.2,1.3878,0.99889,0.01124,0.55475,0.56726,0.53957,0.26241,1.80195,1.38968,0.01873,8.59096e-05,8.59096e-05,8.59096e-05
90,18412.6,1.39049,1.00386,0.01091,0.5503,0.54408,0.53524,0.25988,1.79696,1.39233,0.0186,7.93063e-05,7.93063e-05,7.93063e-05
91,18606.1,1.36607,0.84151,0.01281,0.73394,0.47919,0.50891,0.25433,1.82333,1.38057,0.01883,7.2703e-05,7.2703e-05,7.2703e-05
92,18799.8,1.33585,0.83385,0.01257,0.55413,0.55232,0.53291,0.26027,1.82222,1.3715,0.01894,6.60997e-05,6.60997e-05,6.60997e-05
93,18997.6,1.33227,0.80712,0.01211,0.62567,0.49558,0.5063,0.25583,1.82408,1.37314,0.01891,5.94964e-05,5.94964e-05,5.94964e-05
94,19195.7,1.33383,0.80795,0.01208,0.56778,0.55165,0.53029,0.2599,1.81586,1.37068,0.01886,5.28931e-05,5.28931e-05,5.28931e-05
95,19386.6,1.31108,0.79102,0.01197,0.59326,0.52099,0.51283,0.25931,1.82505,1.36817,0.01897,4.62898e-05,4.62898e-05,4.62898e-05
96,19576.5,1.31261,0.79365,0.01197,0.54996,0.56873,0.5305,0.2596,1.82168,1.3825,0.01899,3.96865e-05,3.96865e-05,3.96865e-05
97,19775.6,1.31839,0.78673,0.01187,0.59964,0.51974,0.51474,0.25956,1.81906,1.36868,0.019,3.30832e-05,3.30832e-05,3.30832e-05
98,19970.5,1.31073,0.77895,0.0119,0.54961,0.56719,0.5299,0.25902,1.82867,1.36905,0.01912,2.64799e-05,2.64799e-05,2.64799e-05
99,20170.4,1.30661,0.78536,0.01194,0.56112,0.56657,0.53088,0.25992,1.82443,1.36805,0.019,1.98766e-05,1.98766e-05,1.98766e-05
100,20366.1,1.30228,0.78633,0.01194,0.56162,0.5618,0.53183,0.26069,1.81874,1.37402,0.01896,1.32733e-05,1.32733e-05,1.32733e-05
